client_id,age,anciennete_mois,conso_data_go,minutes_appel,nb_sms,facture_mensuelle,nb_reclamations,churn
1,52,13,7.8,66,47,13200,1,1
2,42,34,5.6,506,105,24000,0,0
3,25,43,25.4,148,59,40500,7,1
4,57,40,6.5,300,145,18600,0,0
5,68,28,53.3,529,171,97000,1,1
6,38,13,19.4,84,75,31600,0,0
7,32,85,23.5,100,44,34700,1,0
8,54,88,7.4,149,31,14300,1,0
9,61,55,6.2,92,23,14100,1,0
10,57,85,19.9,195,98,34500,1,0
11,65,94,7.9,343,112,21300,1,0
12,36,26,8.9,301,146,26000,3,1
13,27,34,22.7,150,87,38100,3,0
14,46,48,4.8,75,12,10800,0,0
15,43,24,6.2,134,27,15100,1,0
16,66,79,36.1,720,141,77300,0,0
17,60,34,3.9,72,27,7000,0,0
18,53,52,29.0,85,57,50400,1,0
19,55,13,54.1,514,85,93100,0,1
20,24,50,5.3,88,12,10400,3,0
21,38,90,5.4,556,65,26300,1,0
22,46,86,49.9,642,116,91400,1,1
23,63,14,3.7,148,15,5100,3,0
24,48,72,16.1,193,97,28800,2,0
25,27,93,46.6,432,111,82900,0,0
26,21,12,2.0,59,20,10800,0,0
27,45,28,27.9,139,43,44200,1,0
28,61,15,5.8,453,80,18100,1,0
29,19,71,6.8,551,62,24100,3,0
30,54,12,20.8,118,39,36600,5,1
31,57,87,5.9,131,27,13200,3,0
32,44,35,31.9,83,40,55100,6,1
33,21,3,22.7,193,38,39600,0,0
34,33,91,25.7,196,85,47500,2,0
35,29,50,34.8,178,56,57400,1,0
36,31,51,6.8,500,65,26500,3,0
37,58,62,4.3,377,66,20500,3,1
38,21,1,5.4,147,48,10800,1,0
39,59,72,20.5,122,65,35200,2,0
40,45,36,2.2,85,40,5800,2,0
41,40,13,20.0,123,72,35800,1,1
42,26,22,15.4,145,36,26200,2,0
43,59,3,3.8,384,82,14200,0,0
44,42,17,22.6,131,47,39400,1,0
45,48,59,22.5,169,77,39700,5,1
46,36,56,8.3,599,114,28700,1,0
47,58,32,15.6,83,30,26300,3,1
48,42,35,33.1,649,171,67000,0,0
49,34,16,2.7,149,13,7800,2,0
50,61,82,4.4,596,88,23000,1,0
51,59,7,29.9,132,67,49400,3,1
52,66,27,24.3,174,88,38000,3,1
53,38,6,7.0,469,53,26800,2,1
54,53,75,30.6,178,51,51700,2,0
55,66,37,17.7,116,52,28700,1,0
56,54,50,3.3,51,36,6800,1,0
57,18,85,5.0,54,19,9100,2,0
58,24,73,5.0,556,78,26900,2,0
59,46,5,20.0,108,64,33900,2,1
60,49,47,9.6,429,99,26700,2,0
61,42,91,33.5,470,120,66300,1,1
62,40,37,9.4,530,141,27700,5,1
63,52,71,6.3,98,28,16100,3,0
64,43,85,3.9,123,11,10500,0,0
65,66,84,15.3,180,94,30000,2,0
66,49,31,3.1,126,20,9700,1,0
67,28,76,45.5,591,161,86000,0,0
68,62,54,57.3,567,128,100800,2,1
69,26,19,6.8,586,56,22500,1,0
70,39,49,30.3,157,68,51600,1,0
71,58,48,6.3,543,105,27100,2,0
72,68,45,6.3,51,18,10300,2,1
73,67,61,2.4,129,22,6700,0,0
74,62,43,27.2,138,84,46400,3,1
75,65,84,5.2,517,68,23000,1,0
76,26,67,31.8,169,60,55000,1,0
77,24,68,2.1,85,33,2000,0,0
78,56,67,2.8,113,28,5400,3,0
79,39,26,7.3,93,34,14100,1,0
80,32,67,3.1,139,11,10100,1,0
81,52,65,5.9,112,32,13500,1,0
82,19,39,34.1,113,84,54400,2,0
83,61,91,27.5,189,55,45900,0,0
84,30,31,6.2,315,109,18300,0,0
85,66,87,6.0,491,102,19300,0,0
86,33,54,32.2,163,82,58300,0,0
87,52,37,15.4,112,88,32600,1,0
88,68,13,9.4,561,59,29200,2,1
89,36,88,47.9,621,132,89100,0,0
90,24,89,9.1,499,128,26800,2,0
91,32,63,7.9,346,144,18500,4,0
92,51,25,40.9,552,131,78100,0,1
93,19,88,6.4,75,38,12700,1,0
94,32,84,53.2,597,193,98500,1,0
95,18,94,2.0,122,33,9500,1,0
96,68,35,22.0,165,91,37700,1,0
97,58,77,8.8,324,143,24600,0,0
98,65,87,8.3,585,117,28200,2,0
99,65,16,5.8,73,24,7700,2,0
100,57,31,9.3,434,55,23400,0,0
101,37,53,2.7,119,27,7100,0,0
102,41,36,34.9,131,84,55900,2,1
103,39,13,8.4,477,56,26100,1,0
104,20,69,33.1,166,57,53900,1,0
105,51,85,34.2,153,48,54900,2,0
106,39,62,3.6,501,77,19900,1,0
107,29,7,6.3,344,117,19500,1,0
108,67,11,4.5,380,115,21000,4,0
109,39,42,5.9,129,12,13000,1,0
110,43,28,27.3,90,99,43800,4,1
111,43,11,19.0,172,76,32300,1,0
112,38,29,8.0,116,19,17400,2,0
113,40,90,16.8,140,84,29700,4,1
114,41,93,7.4,401,118,19600,1,0
115,51,4,5.1,405,134,20500,2,0
116,50,33,51.8,568,147,94000,2,1
117,40,38,3.8,52,26,9100,1,0
118,57,32,4.1,138,33,11400,1,0
119,35,4,6.9,356,144,18600,1,0
120,40,52,4.7,58,48,10900,1,0
121,66,55,4.6,104,31,7700,0,0
122,68,28,25.0,86,73,40100,7,1
123,39,65,3.2,124,36,7600,1,0
124,64,23,9.5,576,109,29100,0,0
125,20,53,35.8,407,110,63500,0,0
126,47,17,4.5,120,40,8500,0,0
127,36,4,20.6,189,79,39200,0,0
128,20,47,8.6,329,116,16500,0,0
129,62,32,51.4,412,185,87400,0,0
130,64,48,3.2,61,47,8000,0,0
131,21,54,4.4,78,29,5400,1,0
132,33,22,49.7,751,80,92400,0,0
133,26,75,26.5,644,141,54500,3,0
134,69,40,3.2,94,28,4200,3,0
135,35,52,17.2,134,41,29000,1,0
136,21,47,6.3,478,113,23700,2,1
137,26,45,7.2,388,96,17000,4,1
138,57,94,7.3,84,12,14600,0,0
139,60,85,9.5,430,119,26100,2,0
140,20,65,9.7,598,72,28600,3,0
141,21,7,16.7,150,32,28400,3,1
142,62,37,5.3,59,21,9600,0,0
