age,revenu_mensuel,anciennete_emploi,type_contrat,montant_demande,duree_pret_mois,nb_credits_actuels,historique_credit,apport_personnel,situation_familiale,nb_personnes_charge,credit_accorde
23,261000,10.0,CDI,2100000,60,1,Bon,100000.0,Divorcé,0,1
49,222000,29.0,CDI,2480000,36,1,Mauvais,750000.0,Célibataire,1,1
55,510000,0.0,CDI,14680000,48,1,Mauvais,1140000.0,Célibataire,1,0
59,108000,26.0,CDI,3330000,12,1,Moyen,230000.0,Marié,0,0
38,310000,3.0,CDI,2000000,24,1,Bon,340000.0,Marié,2,1
40,80000,2.0,CDI,2970000,84,1,Bon,270000.0,Marié,2,0
63,224000,24.0,CDD,5460000,60,1,Moyen,1020000.0,Marié,1,1
43,144000,4.0,Fonctionnaire,3640000,36,2,Moyen,240000.0,Célibataire,3,0
54,359000,13.0,CDD,4410000,84,1,Bon,170000.0,Marié,1,1
53,201000,6.0,CDI,3370000,60,1,Bon,840000.0,Divorcé,2,1
30,537000,9.0,CDI,7330000,24,0,Bon,2220000.0,Marié,3,1
53,188000,7.0,CDI,7360000,24,1,Bon,930000.0,Divorcé,0,0
53,542000,7.0,CDD,9090000,24,2,Moyen,1220000.0,Célibataire,1,0
46,444000,13.0,Fonctionnaire,3910000,36,4,Moyen,300000.0,Célibataire,3,1
40,133000,23.0,Fonctionnaire,5100000,36,0,Mauvais,470000.0,Célibataire,0,0
35,286000,3.0,CDI,6780000,36,0,Moyen,2490000.0,Marié,0,0
57,511000,29.0,Indépendant,20330000,12,1,Mauvais,5690000.0,Marié,0,0
53,586000,16.0,CDD,9470000,36,0,Bon,3190000.0,Marié,2,1
37,350000,16.0,CDI,5250000,12,1,Bon,510000.0,Célibataire,1,0
25,218000,23.0,Indépendant,4400000,36,2,Moyen,1470000.0,Marié,1,1
24,506000,29.0,CDI,17940000,120,0,Moyen,1840000.0,Marié,1,1
23,224000,10.0,CDI,7630000,60,2,Bon,1040000.0,Célibataire,3,0
41,551000,22.0,CDI,10940000,24,0,Bon,3800000.0,Célibataire,2,1
60,217000,4.0,Indépendant,2450000,48,0,Bon,290000.0,Célibataire,2,1
23,504000,17.0,Indépendant,19020000,24,6,Bon,6310000.0,Marié,1,0
41,506000,23.0,CDI,10760000,36,0,Moyen,1260000.0,Marié,0,1
28,80000,26.0,Indépendant,3070000,12,2,Bon,420000.0,Marié,1,0
62,157000,24.0,CDD,1810000,120,2,Moyen,560000.0,Marié,0,1
56,152000,22.0,Fonctionnaire,790000,36,2,Bon,200000.0,Marié,0,1
49,224000,18.0,Indépendant,5930000,24,1,Bon,490000.0,Célibataire,2,0
59,488000,27.0,CDD,15770000,24,1,Moyen,5420000.0,Célibataire,2,0
54,386000,17.0,CDI,15040000,36,1,Mauvais,4840000.0,Divorcé,0,0
42,780000,17.0,CDD,11270000,84,2,Bon,4240000.0,Célibataire,3,1
51,559000,16.0,CDI,21380000,120,1,Moyen,6740000.0,Divorcé,3,1
48,87000,3.0,Fonctionnaire,1230000,84,0,Moyen,250000.0,Célibataire,1,1
55,324000,18.0,Indépendant,5380000,24,1,Bon,1180000.0,Marié,1,0
54,259000,26.0,CDD,5160000,48,2,Mauvais,510000.0,Marié,1,0
33,661000,10.0,Indépendant,4560000,24,0,Moyen,900000.0,Marié,2,1
61,420000,4.0,CDI,15190000,36,1,Bon,1530000.0,Marié,2,0
24,285000,24.0,CDD,9290000,24,2,Moyen,610000.0,Divorcé,2,0
63,304000,9.0,Indépendant,11290000,48,0,Bon,610000.0,Célibataire,0,0
26,787000,24.0,Fonctionnaire,30870000,24,0,Moyen,7500000.0,Marié,3,0
21,294000,27.0,CDD,7620000,36,2,Moyen,2990000.0,Célibataire,2,0
32,527000,7.0,Indépendant,19600000,60,3,Bon,6770000.0,Célibataire,0,1
55,392000,,CDI,6980000,36,0,Bon,1770000.0,Marié,2,1
31,302000,19.0,CDD,3660000,24,3,Bon,1040000.0,Célibataire,2,1
43,611000,29.0,CDI,8920000,36,2,Moyen,640000.0,Marié,2,1
34,209000,15.0,CDI,7770000,12,1,Moyen,2140000.0,Marié,2,0
39,208000,4.0,CDI,2970000,120,1,Bon,790000.0,Célibataire,0,1
57,218000,1.0,CDI,7200000,48,0,Bon,1500000.0,Marié,4,0
36,354000,16.0,Indépendant,13330000,12,0,Bon,4110000.0,Célibataire,1,0
64,334000,21.0,CDI,9060000,84,0,Bon,670000.0,Célibataire,2,1
48,509000,8.0,Indépendant,3830000,24,0,Bon,1050000.0,Marié,1,1
51,155000,3.0,Fonctionnaire,2010000,60,2,Mauvais,380000.0,Célibataire,1,0
27,412000,23.0,Fonctionnaire,11530000,84,0,Bon,3980000.0,Célibataire,1,1
47,480000,19.0,Fonctionnaire,17450000,36,0,Moyen,2960000.0,Célibataire,4,0
37,245000,22.0,Fonctionnaire,3560000,36,0,Bon,100000.0,Marié,0,1
27,477000,20.0,CDD,11540000,36,2,Moyen,2170000.0,Marié,2,1
35,484000,26.0,Indépendant,16470000,12,1,Bon,4800000.0,Célibataire,0,0
60,597000,3.0,CDI,6920000,48,0,Mauvais,2600000.0,Marié,2,1
32,144000,6.0,Fonctionnaire,2260000,84,1,Bon,280000.0,Marié,1,1
28,654000,0.0,CDI,9030000,120,1,Bon,280000.0,Célibataire,0,1
22,135000,10.0,Fonctionnaire,3160000,48,1,Bon,1090000.0,Célibataire,3,1
64,238000,4.0,Indépendant,4030000,48,1,Moyen,520000.0,Marié,0,0
58,347000,3.0,CDI,6300000,36,2,Bon,1500000.0,Marié,5,0
46,286000,4.0,CDI,10320000,60,0,Moyen,2180000.0,Célibataire,1,0
41,176000,16.0,CDD,2050000,24,0,Bon,660000.0,Marié,4,1
33,236000,19.0,CDI,6110000,84,1,Moyen,50000.0,Célibataire,0,1
39,695000,12.0,Indépendant,25810000,84,2,Bon,5650000.0,Marié,2,1
38,226000,20.0,Fonctionnaire,7380000,84,1,Moyen,1710000.0,Célibataire,0,1
22,557000,29.0,CDD,20370000,24,0,Mauvais,6570000.0,Marié,2,0
62,80000,10.0,Indépendant,2380000,60,3,Mauvais,620000.0,Célibataire,1,0
48,270000,3.0,CDI,3420000,120,1,Bon,1270000.0,Marié,2,1
43,950000,22.0,CDI,25310000,60,2,Moyen,950000.0,Célibataire,1,1
24,200000,28.0,CDD,5650000,36,3,Bon,1960000.0,Célibataire,2,0
24,211000,6.0,Indépendant,2900000,48,0,Bon,940000.0,Célibataire,3,1
32,133000,17.0,CDD,3810000,60,0,Moyen,630000.0,Marié,2,0
42,476000,20.0,CDI,18590000,24,1,Bon,2120000.0,Marié,0,0
46,453000,14.0,CDD,16510000,84,0,Mauvais,4740000.0,Divorcé,2,0
60,168000,17.0,Indépendant,5750000,84,2,Bon,1140000.0,Divorcé,0,1
62,907000,4.0,Indépendant,25890000,24,1,Moyen,4010000.0,Célibataire,4,0
55,392000,22.0,CDD,15630000,60,2,Bon,5700000.0,Marié,1,1
24,475000,22.0,Indépendant,10530000,84,0,Moyen,4130000.0,Marié,3,1
32,297000,17.0,CDD,10950000,120,3,Mauvais,2030000.0,Célibataire,1,0
24,641000,0.0,Indépendant,18550000,120,1,Moyen,4620000.0,Marié,1,1
51,225000,21.0,Indépendant,6850000,12,0,Bon,660000.0,Marié,1,0
27,482000,20.0,CDD,5620000,120,1,Mauvais,1840000.0,Marié,2,1
30,449000,26.0,CDI,14090000,120,0,Bon,1770000.0,Célibataire,1,1
44,115000,3.0,CDI,940000,12,4,Bon,70000.0,Divorcé,1,0
35,414000,21.0,CDD,14240000,60,1,Bon,2350000.0,Célibataire,2,1
59,213000,26.0,Fonctionnaire,4180000,24,1,Mauvais,600000.0,Célibataire,1,0
40,311000,1.0,CDD,5520000,24,1,Bon,1030000.0,Marié,1,0
27,103000,23.0,Indépendant,650000,120,1,Bon,140000.0,Marié,0,1
33,258000,9.0,Indépendant,1420000,36,1,Moyen,450000.0,Marié,3,1
48,280000,4.0,CDD,7010000,48,3,Bon,960000.0,Célibataire,3,0
59,383000,7.0,Fonctionnaire,9080000,84,2,Moyen,1590000.0,Célibataire,4,1
38,285000,10.0,CDD,6740000,84,1,Moyen,2670000.0,Marié,2,1
31,445000,28.0,CDD,9200000,60,1,Moyen,1930000.0,Marié,1,1
56,100000,6.0,CDI,690000,36,0,Bon,130000.0,Célibataire,2,1
56,94000,8.0,Indépendant,2830000,60,1,Bon,400000.0,Célibataire,0,0
22,1369000,27.0,CDI,10810000,36,2,Moyen,2530000.0,Célibataire,1,1
37,659000,6.0,CDI,10780000,120,2,Bon,130000.0,Marié,2,1
26,284000,20.0,CDI,9230000,48,1,Bon,2710000.0,Divorcé,2,1
61,116000,26.0,CDI,4420000,120,1,Bon,930000.0,Divorcé,2,1
43,177000,22.0,CDI,2210000,84,2,Moyen,530000.0,Célibataire,0,1
36,413000,15.0,Indépendant,14230000,12,0,Moyen,4640000.0,Marié,0,0
61,198000,5.0,CDI,3730000,60,0,Moyen,890000.0,Marié,1,1
46,195000,16.0,Indépendant,1040000,24,0,Mauvais,150000.0,Célibataire,1,0
21,447000,5.0,CDD,8150000,120,1,Moyen,1160000.0,Marié,3,1
56,600000,10.0,Indépendant,3440000,36,0,Mauvais,700000.0,Marié,1,1
50,649000,9.0,CDI,15760000,60,2,Mauvais,5640000.0,Marié,0,1
22,490000,13.0,Indépendant,8190000,24,0,Bon,,Célibataire,0,1
40,241000,11.0,CDD,4240000,24,1,Mauvais,1220000.0,Marié,3,0
25,336000,5.0,Indépendant,2630000,120,3,Bon,560000.0,Marié,1,1
51,395000,27.0,CDI,11260000,60,0,Bon,1380000.0,Marié,2,1
28,676000,24.0,Indépendant,5570000,12,5,Moyen,1520000.0,Célibataire,3,0
50,352000,6.0,CDI,9820000,60,1,Moyen,1990000.0,Marié,2,1
59,688000,7.0,CDD,22060000,84,3,Bon,3380000.0,Marié,3,1
22,1080000,2.0,Indépendant,27980000,36,1,Bon,4450000.0,Célibataire,2,1
33,381000,28.0,CDI,10560000,84,1,Mauvais,3090000.0,Célibataire,0,1
24,401000,,CDD,11220000,120,4,Mauvais,4380000.0,Célibataire,1,0
28,342000,14.0,CDI,11460000,120,1,Bon,330000.0,Marié,1,1
