commune,superficie_m2,nb_pieces,age_batiment,etage,standing,meuble,parking,securite,loyer_fcfa
Yopougon,50.0,3.0,19.0,3,Haut standing,0,0,0,118000
Riviera,116.0,6.0,28.0,8,Moyen,0,0,1,533000
Koumassi,59.0,1.0,24.0,0,Économique,0,1,1,94000
Abobo,93.0,5.0,16.0,6,Économique,1,0,0,133000
Plateau,119.0,5.0,12.0,2,Économique,0,0,0,544000
Plateau,118.0,6.0,15.0,7,Économique,0,0,0,655000
Cocody,192.0,7.0,34.0,5,Moyen,0,0,0,734000
Bingerville,79.0,2.0,35.0,0,Moyen,0,1,1,211000
Abobo,56.0,2.0,38.0,9,Moyen,0,0,0,56000
Adjamé,96.0,5.0,2.0,4,Moyen,0,1,0,169000
Cocody,81.0,3.0,8.0,11,Économique,0,1,1,454000
Riviera,74.0,3.0,39.0,7,Économique,1,0,0,314000
Port-Bouët,68.0,4.0,28.0,10,Moyen,0,1,0,156000
Marcory,107.0,3.0,4.0,2,Économique,0,0,0,259000
Plateau,63.0,3.0,2.0,11,Économique,1,0,0,406000
Plateau,131.0,5.0,9.0,11,Moyen,0,1,0,803000
Treichville,128.0,4.0,30.0,3,Haut standing,0,0,1,388000
Abobo,111.0,5.0,10.0,6,Haut standing,0,0,0,190000
Yopougon,52.0,3.0,16.0,10,Économique,0,0,1,55000
Treichville,104.0,5.0,39.0,5,Moyen,0,0,0,197000
Abobo,150.0,5.0,7.0,6,Économique,0,0,1,180000
Cocody,135.0,5.0,1.0,8,Haut standing,0,0,1,906000
Treichville,126.0,4.0,3.0,8,Économique,0,0,0,307000
Yopougon,93.0,4.0,15.0,1,Économique,0,1,1,141000
Yopougon,91.0,4.0,20.0,2,Haut standing,1,0,0,194000
Koumassi,162.0,7.0,4.0,3,Haut standing,1,0,0,610000
Marcory,106.0,5.0,34.0,5,Moyen,0,0,1,388000
Abobo,106.0,5.0,13.0,4,Économique,1,1,1,172000
Abobo,297.0,10.0,14.0,5,Moyen,0,1,1,440000
Cocody,78.0,4.0,5.0,10,Moyen,1,1,1,666000
Abobo,24.0,1.0,15.0,7,Moyen,0,1,1,43000
Plateau,84.0,4.0,22.0,1,Économique,1,0,1,515000
Cocody,86.0,4.0,30.0,5,Économique,1,0,0,475000
Riviera,105.0,5.0,11.0,8,Haut standing,0,1,0,740000
Riviera,117.0,4.0,18.0,4,Moyen,0,1,0,423000
Port-Bouët,26.0,1.0,11.0,0,Moyen,1,0,0,72000
Treichville,118.0,4.0,12.0,7,Économique,0,1,0,330000
Cocody,,3.0,1.0,3,Moyen,0,1,1,602000
Adjamé,80.0,2.0,19.0,7,Haut standing,0,1,0,156000
Yopougon,35.0,1.0,30.0,3,Économique,0,1,1,54000
Cocody,178.0,6.0,8.0,10,Moyen,0,1,0,1082000
Yopougon,,4.0,20.0,7,Économique,0,0,1,95000
Cocody,127.0,5.0,7.0,8,Économique,0,0,1,693000
Riviera,58.0,1.0,38.0,4,Moyen,1,0,0,235000
Marcory,107.0,3.0,36.0,4,Moyen,0,0,1,301000
Adjamé,80.0,3.0,28.0,1,Moyen,0,1,0,137000
Treichville,125.0,4.0,18.0,8,Économique,0,0,1,233000
Abobo,79.0,,34.0,10,Économique,1,1,0,97000
Abobo,57.0,3.0,37.0,3,Haut standing,0,1,0,85000
Plateau,91.0,3.0,25.0,2,Économique,1,1,1,462000
Riviera,89.0,3.0,10.0,1,Moyen,0,1,1,458000
Koumassi,104.0,5.0,35.0,2,Économique,0,0,0,149000
Riviera,143.0,5.0,34.0,3,Haut standing,0,0,1,634000
Bingerville,50.0,1.0,3.0,8,Haut standing,0,1,0,165000
Abobo,,6.0,2.0,5,Économique,1,0,0,229000
Riviera,46.0,1.0,11.0,9,Moyen,0,0,0,212000
Cocody,123.0,6.0,31.0,4,Économique,0,0,0,412000
Marcory,125.0,4.0,25.0,8,Économique,1,0,1,496000
Cocody,71.0,3.0,12.0,7,Moyen,0,0,1,435000
Treichville,60.0,3.0,37.0,5,Moyen,0,1,0,141000
Yopougon,58.0,3.0,28.0,2,Économique,1,1,1,117000
Marcory,95.0,5.0,18.0,6,Moyen,0,1,0,432000
Port-Bouët,129.0,6.0,34.0,9,Économique,1,0,0,216000
Yopougon,85.0,3.0,26.0,5,Économique,1,0,1,119000
Marcory,22.0,1.0,30.0,11,Moyen,0,1,0,54000
Abobo,69.0,3.0,2.0,10,Moyen,0,1,0,103000
Plateau,67.0,3.0,34.0,7,Moyen,0,1,1,345000
Port-Bouët,117.0,4.0,23.0,11,Moyen,0,1,1,214000
Cocody,120.0,5.0,6.0,5,Haut standing,1,1,0,890000
Riviera,99.0,3.0,34.0,10,Moyen,0,0,0,397000
Koumassi,140.0,7.0,20.0,9,Économique,0,0,0,283000
Marcory,145.0,5.0,0.0,3,Moyen,0,1,1,570000
Cocody,71.0,2.0,5.0,9,Moyen,0,1,1,503000
Port-Bouët,58.0,1.0,38.0,11,Moyen,0,0,1,84000
Adjamé,88.0,4.0,33.0,6,Moyen,1,1,1,220000
Koumassi,99.0,4.0,17.0,6,Économique,0,1,1,210000
Koumassi,69.0,4.0,24.0,10,Économique,1,0,1,174000
Cocody,332.0,10.0,14.0,7,Moyen,0,1,0,1527000
Yopougon,173.0,6.0,31.0,1,Économique,0,0,1,237000
Cocody,66.0,3.0,17.0,10,Moyen,0,1,1,426000
Bingerville,,2.0,30.0,5,Moyen,1,1,0,192000
Abobo,63.0,2.0,28.0,2,Moyen,0,1,0,64000
Treichville,146.0,7.0,14.0,7,Moyen,1,0,0,489000
Cocody,148.0,6.0,22.0,3,Économique,1,0,1,664000
Treichville,174.0,8.0,37.0,3,Haut standing,1,1,0,508000
Treichville,57.0,1.0,10.0,1,Moyen,0,0,1,174000
Koumassi,116.0,5.0,14.0,5,Économique,0,0,0,168000
Abobo,59.0,3.0,22.0,5,Économique,0,0,1,65000
Bingerville,192.0,9.0,2.0,0,Économique,0,1,0,569000
Yopougon,58.0,1.0,18.0,11,Moyen,1,0,1,114000
Cocody,45.0,2.0,0.0,7,Économique,1,1,0,245000
Koumassi,50.0,3.0,23.0,2,Économique,1,1,0,103000
Koumassi,91.0,5.0,10.0,0,Économique,0,1,0,236000
Abobo,128.0,6.0,29.0,9,Moyen,0,1,0,161000
Koumassi,124.0,6.0,10.0,0,Moyen,0,0,1,271000
Yopougon,51.0,3.0,38.0,0,Moyen,0,0,1,73000
Abobo,75.0,4.0,0.0,4,Haut standing,1,0,0,167000
Yopougon,70.0,4.0,11.0,4,Économique,1,1,0,168000
Cocody,47.0,3.0,3.0,0,Moyen,0,1,1,288000
Cocody,69.0,4.0,24.0,4,Économique,0,0,1,323000
Cocody,171.0,8.0,7.0,6,Moyen,0,0,0,802000
